emb_id,category,variant_id,name,pattern,prior_note,target_note,voice,components,timing_ratio,anchor,is_default,alias,source_ms,notes,canntaireachd,cannt_short
strike_A,strike,,Low A tap / strike,G,A,A,pipes,G,0.5,1,1,strlg,12.5,"Uncommon. Patrick McLaurin describes closing the Low-A finger briefly to sound Low G, but notes that a birl is generally used instead. Prior and target are both Low A. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.",,
strike_B,strike,,B tap / strike,G,B,B,pipes,G,0.5,1,1,strlg,12.5,"Close the topmost open lower-hand hole briefly, sounding Low G while B remains the melody note. Prior and target are both B. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.",,
strike_c,strike,,C tap / strike,G,c,c,pipes,G,0.5,1,1,strlg,12.5,Brief Low-G tap used to re-articulate C. Prior and target are both C. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.,,
strike_d_low_g,strike,strike_d,D tap / strike (Low G form),G,d,d,pipes,G,0.5,1,,strlg,12.5,One of Patrick McLaurin’s two D taps: briefly sound Low G. Stored as a variant; no default selected because the source presents both forms. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.,,
strike_d_c,strike,strike_d,D tap / strike (C form),c,d,d,pipes,c,0.5,1,,strc,12.5,One of Patrick McLaurin’s two D taps: close the D finger briefly to sound C. Stored as a variant; no default selected because the source presents both forms. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.,,
strike_d_half_closed,strike,,Half strike on D (closed),dG,*,d,pipes,"d,G","2,1",1,1,,"40,30",Compatibility definition used by Dalnahasaig; D articulation followed by a Low-G closure.,,
strike_e,strike,,E tap / strike,A,e,e,pipes,A,0.5,1,1,strla,12.5,"Close the E finger briefly while E is sounding, producing Low A. Prior and target are both E. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.",,
strike_f,strike,,F tap / strike,e,f,f,pipes,e,0.5,1,1,stre,12.5,"Close the F finger briefly while F is sounding, producing E. Prior and target are both F. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.",,
strike_g,strike,,High G tap / strike,f,g,g,pipes,f,0.5,1,1,strf,12.5,"Close the High-G finger briefly while High G is sounding, producing F. Prior and target are both High G. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.",,
strike_a,strike,,High A tap / strike,g,a,a,pipes,g,0.5,1,1,strhg,12.5,"Close and reopen the thumb hole while High A is sounding, producing High G. Patrick describes sliding and straight in-and-out methods, preferring the cleaner in-and-out motion except in repeated-tap contexts. Nether Lorn/Campbell: no standardized standalone tap/strike vocable was found in the consulted scale and movement tables; leave blank pending contextual encoding review.",,
grip_general,grip,,Grip / leumluath (general),GdG,*,*,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",General fallback: Patrick McLaurin states that a grip can go from any note to any note. Excludes prior Low G for now by decision. Prefer target-specific rows where formal canntaireachd or movement data is available.,,
grip_A,grip,,Grip on Low A,GdG,*,A,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",Target-specific because Nether Lorn/Campbell assigns a distinct grip vocable. Excludes prior Low G for now.,ban; bain,ban / bain
grip_B,grip,,Grip on B,GdG,*,B,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",Target-specific because Nether Lorn/Campbell assigns a distinct grip vocable. Excludes prior Low G for now.,tro,tro
grip_c,grip,,Grip on C,GdG,*,c,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",Target-specific because Nether Lorn/Campbell assigns a distinct grip vocable. Excludes prior Low G for now.,dro,dro
grip_d_from_d,grip,,Grip from D to D,GdG,d,d,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",Prior-specific because Nether Lorn/Campbell assigns distinct D-to-D forms.,adeda; ademda,a-de-da / a-dem-da
leum_e,grip,,Leumluath to E,GdG,*,e,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30","General leumluath to E from notes other than D; bare is appended to the preceding melody vocable. Excludes prior Low G for now and prior D, which has variants below.",-bare,bare
leum_e_from_d_B,grip,leum_e_from_d,Leumluath from D to E (B-grace form),GBG,d,e,pipes,"G,B,G","1,1,1",1,,grpb,,Documented Nether Lorn/Campbell D-to-E form using a B gracenote. No default chosen between the two documented variants.,harode,ha-ro-de
leum_e_from_d_D,grip,leum_e_from_d,Leumluath from D to E (D-grace form),GdG,d,e,pipes,"G,d,G","1,1,1",1,,grp,"40,30,30",Documented Nether Lorn/Campbell D-to-E form using a D gracenote. No default chosen between the two documented variants.,habare,ha-ba-re
leum_f,grip,,Leumluath to F,GdG,*,f,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",Target-specific because Nether Lorn/Campbell assigns a distinct leumluath form. Excludes prior Low G for now.,barhe,bar-he
leum_g,grip,,Leumluath to High G,GdG,*,g,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30",Target-specific because Nether Lorn/Campbell assigns a distinct leumluath form. Excludes prior Low G for now.,bari,ba-ri
leum_a,grip,,Leumluath to High A,GdG,*,a,pipes,"G,d,G","1,1,1",1,1,grp,"40,30,30","Target-specific because Nether Lorn/Campbell gives dari, with bari as a possible alternative. Excludes prior Low G for now.",dari; bari,da-ri / ba-ri
throw_d_heavy_literal,throw,,Heavy throw on D (literal),GdGc,*,d,pipes,"G,d,G,c","2,1,2,2",4,1,hvthrd,"40,20,40,40","Fully written heavy execution: Low G, D gracenote on Low G, return to Low G, then C, resolving to D. Excludes prior Low G for now. Beat/anchor is the C component.",tra,tra
throw_d_heavy_abbrev,throw,throw_d_Gdc,Heavy throw on D (abbreviated notation),Gdc,*,d,pipes,"G,d,G,c","2,1,2,2",4,1,thrd,"40,20,40,40","Written with the conventional Gdc shorthand but performed as the four-component heavy throw G,d,G,c. This is the default interpretation of the abbreviated notation. Excludes prior Low G for now. Beat/anchor is the sounded C component.",tra,tra
throw_d_light_abbrev,throw,throw_d_Gdc,Light throw on D,Gdc,*,d,pipes,"G,d,c","2,1,1",3,0,thrd,"60,25,30","Literal light execution of the same Gdc written form: Low G, D gracenote to C, then D. Excludes prior Low G for now. Beat/anchor is the C component.",tra,tra
taor_modern_G,taorluath,band,Modern taorluath to Low G — pipe-band anchor,GdGe,*,G,pipes,"G,d,G,e","1,1,1,1",1,1,tar,"30,30,30,30",Modern closed form. Prior Low G is excluded for now; general prior also excludes D because the B-grace form is represented separately. Pipe-band timing anchors the first Low G component. Cross-reference: McGillivray 2026 Piobaireachd Practice Pack.,darem,da-rem
taor_modern_G,taorluath,solo,Modern taorluath to Low G — solo/NZ anchor,GdGe,*,G,pipes,"G,d,G,e","1,1,1,1",4,0,tar,"30,30,30,30",Modern closed form. Prior Low G is excluded for now; general prior also excludes D because the B-grace form is represented separately. Solo/NZ timing anchors the final E component leading into the target note. Cross-reference: McGillivray 2026 Piobaireachd Practice Pack.,darem,da-rem
taor_modern_AD,taorluath,band,Modern taorluath to A–D — pipe-band anchor,GdGe,*,*,pipes,"G,d,G,e","1,1,1,1",1,1,tar,"30,30,30,30","Targets are restricted to A, B, c, or d. Prior Low G is excluded for now; general prior also excludes D because the B-grace form is represented separately. Pipe-band timing anchors the first Low G component. Cross-reference: McGillivray 2026 Piobaireachd Practice Pack.",-darid,darid
taor_modern_AD,taorluath,solo,Modern taorluath to A–D — solo/NZ anchor,GdGe,*,*,pipes,"G,d,G,e","1,1,1,1",4,0,tar,"30,30,30,30","Targets are restricted to A, B, c, or d. Prior Low G is excluded for now; general prior also excludes D because the B-grace form is represented separately. Solo/NZ timing anchors the final E component leading into the target note. Cross-reference: McGillivray 2026 Piobaireachd Practice Pack.",-darid,darid
taor_modern_Dprior_AD,taorluath,band,Modern taorluath from D to A–D (B-grace form) — pipe-band anchor,GBGe,d,*,pipes,"G,B,G,e","1,1,1,1",1,1,tarb,,"Documented D-prior variant using a B gracenote. Targets are restricted to A, B, c, or d. Prior Low G does not apply. Pipe-band timing anchors the first Low G component. Cross-reference: McGillivray 2026 Piobaireachd Practice Pack.",-darid,darid
taor_modern_Dprior_AD,taorluath,solo,Modern taorluath from D to A–D (B-grace form) — solo/NZ anchor,GBGe,d,*,pipes,"G,B,G,e","1,1,1,1",4,0,tarb,,"Documented D-prior variant using a B gracenote. Targets are restricted to A, B, c, or d. Prior Low G does not apply. Solo/NZ timing anchors the final E component leading into the target note. Cross-reference: McGillivray 2026 Piobaireachd Practice Pack.",-darid,darid
taor_redundantA_early_G,taorluath,band,Early redundant-A taorluath to Low G — pipe-band anchor,GdAe,*,G,pipes,"G,d,A,e","1,1,1,1",1,1,,,Historical form without the second Low G and with intervening Low A. Prior Low G is excluded for now. Timing is a neutral component ratio pending source-specific rhythmic transcription. Pipe-band timing anchors the first Low G component.,darem,da-rem
taor_redundantA_early_G,taorluath,solo,Early redundant-A taorluath to Low G — solo/NZ anchor,GdAe,*,G,pipes,"G,d,A,e","1,1,1,1",4,0,,,Historical form without the second Low G and with intervening Low A. Prior Low G is excluded for now. Timing is a neutral component ratio pending source-specific rhythmic transcription. Solo/NZ timing anchors the final E component leading into the target note.,darem,da-rem
taor_redundantA_early_AD,taorluath,band,Early redundant-A taorluath to A–D — pipe-band anchor,GdAe,*,*,pipes,"G,d,A,e","1,1,1,1",1,1,,,"Historical form without the second Low G and with intervening Low A. Targets are restricted to A, B, c, or d; prior Low G is excluded. Timing is neutral pending source-specific transcription. Pipe-band timing anchors the first Low G component.",-darid,darid
taor_redundantA_early_AD,taorluath,solo,Early redundant-A taorluath to A–D — solo/NZ anchor,GdAe,*,*,pipes,"G,d,A,e","1,1,1,1",4,0,,,"Historical form without the second Low G and with intervening Low A. Targets are restricted to A, B, c, or d; prior Low G is excluded. Timing is neutral pending source-specific transcription. Solo/NZ timing anchors the final E component leading into the target note.",-darid,darid
taor_redundantA_full_G,taorluath,band,Full redundant-A taorluath to Low G — pipe-band anchor,GdGAe,*,G,pipes,"G,d,G,A,e","1,1,1,1,1",1,1,,,Historical full-grip form retaining the second Low G and adding intervening Low A. Prior Low G is excluded. Timing is neutral pending source-specific transcription. Pipe-band timing anchors the first Low G component.,darem,da-rem
taor_redundantA_full_G,taorluath,solo,Full redundant-A taorluath to Low G — solo/NZ anchor,GdGAe,*,G,pipes,"G,d,G,A,e","1,1,1,1,1",5,0,,,Historical full-grip form retaining the second Low G and adding intervening Low A. Prior Low G is excluded. Timing is neutral pending source-specific transcription. Solo/NZ timing anchors the final E component leading into the target note.,darem,da-rem
taor_redundantA_full_AD,taorluath,band,Full redundant-A taorluath to A–D — pipe-band anchor,GdGAe,*,*,pipes,"G,d,G,A,e","1,1,1,1,1",1,1,,,"Historical full-grip form retaining the second Low G and adding intervening Low A. Targets are restricted to A, B, c, or d; prior Low G is excluded. Timing is neutral pending source-specific transcription. Pipe-band timing anchors the first Low G component.",-darid,darid
taor_redundantA_full_AD,taorluath,solo,Full redundant-A taorluath to A–D — solo/NZ anchor,GdGAe,*,*,pipes,"G,d,G,A,e","1,1,1,1,1",5,0,,,"Historical full-grip form retaining the second Low G and adding intervening Low A. Targets are restricted to A, B, c, or d; prior Low G is excluded. Timing is neutral pending source-specific transcription. Solo/NZ timing anchors the final E component leading into the target note.",-darid,darid
doubling_G,doubling,regular,Low G doubling — regular,gGd,*,G,pipes,"g,G,d","1,2,1",1,1,dblg,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",himhim,him-him
doubling_G,doubling,thumb,Low G doubling — thumb,aGd,g,G,pipes,"a,G,d","1,2,1",1,0,tdblg,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_G,doubling,half,Low G doubling — half,Gd,a,G,pipes,"G,d","2,1",1,0,hdblg,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_A,doubling,regular,Low A doubling — regular,gAd,*,A,pipes,"g,A,d","1,2,1",1,1,dbla,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",hinhin,hin-hin
doubling_A,doubling,thumb,Low A doubling — thumb,aAd,g,A,pipes,"a,A,d","1,2,1",1,0,tdbla,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_A,doubling,half,Low A doubling — half,Ad,a,A,pipes,"A,d","2,1",1,0,hdbla,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_B,doubling,regular,B doubling — regular,gBd,*,B,pipes,"g,B,d","1,2,1",1,1,dbb,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",hiohio,hyo-hyo
doubling_B,doubling,thumb,B doubling — thumb,aBd,g,B,pipes,"a,B,d","1,2,1",1,0,tdbb,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_B,doubling,half,B doubling — half,Bd,a,B,pipes,"B,d","2,1",1,0,hdbb,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_c,doubling,regular,C doubling — regular,gcd,*,c,pipes,"g,c,d","1,2,1",1,1,dbc,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",hoho,hoh-hoh
doubling_c,doubling,thumb,C doubling — thumb,acd,g,c,pipes,"a,c,d","1,2,1",1,0,tdbc,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_c,doubling,half,C doubling — half,cd,a,c,pipes,"c,d","2,1",1,0,hdbc,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_d,doubling,regular,D doubling — regular,gde,*,d,pipes,"g,d,e","1,2,1",1,1,dbd,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",haha,hah-hah
doubling_d,doubling,thumb,D doubling — thumb,ade,g,d,pipes,"a,d,e","1,2,1",1,0,tdbd,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_d,doubling,half,D doubling — half,de,a,d,pipes,"d,e","2,1",1,0,hdbd,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_e,doubling,regular,E doubling — regular,gef,*,e,pipes,"g,e,f","1,2,1",1,1,dbe,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",cheche,chay-chay
doubling_e,doubling,thumb,E doubling — thumb,aef,g,e,pipes,"a,e,f","1,2,1",1,0,tdbe,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_e,doubling,half,E doubling — half,ef,a,e,pipes,"e,f","2,1",1,0,hdbe,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_f,doubling,regular,F doubling — regular,gfg,*,f,pipes,"g,f,g","1,2,1",1,1,dbf,"25,50,25","Regular form is used from preceding notes F or below; excludes prior High G and High A. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern. Nether Lorn/Campbell writes this regular doubling by repeating the target’s High-G-grace vocable.",hehe,hay-hay
doubling_f,doubling,thumb,F doubling — thumb,afg,g,f,pipes,"a,f,g","1,2,1",1,0,tdbf,"25,50,25","Thumb form used when the preceding note is High G. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_f,doubling,half,F doubling — half,fg,a,f,pipes,"f,g","2,1",1,0,hdbf,"50,25","Half form used when the preceding note is High A: the unavailable opening High-G gracenote is omitted. Pipe-band timing anchors component 1. Formal Nether Lorn names such as dre/edre, dare/vedare and bari/dari describe distinct piobaireachd movements with different note sequences, so they are not assigned to this light-music pattern.",,
doubling_g,doubling,regular,High G doubling,gf,*,g,pipes,"g,f","1,1",1,1,dbhg,"25,25","Special High-G doubling: High-G gracenote to F, then resolve to High G. Prior note must be F or below. Pipe-band timing anchors component 1; RNZ/solo practice may instead anchor F. Prior-specific piobaireachd bari/dari forms have different patterns and are not conflated here.",,
doubling_a,doubling,regular,High A doubling,ag,*,a,pipes,"a,g","1,1",1,1,dbha,"25,25","Special High-A doubling: High-A/thumb gracenote to High G, then resolve to High A. Prior note is below High A. Pipe-band timing anchors component 1. Nether Lorn/Campbell identifies this movement as dili.",dili,di-li
slur_B,slur,,B slur,gBG,*,B,pipes,"g,B,G","1,1,1",1,1,gstb,"30,30,30",Patrick: High-G gracenote to B followed by a Low-G tap/strike. BWW classifies this as a G-gracenote strike. Pipe-band timing anchors component 1.,,
slur_c,slur,,C slur,gcG,*,c,pipes,"g,c,G","1,1,1",1,1,gstc,"30,30,30",Patrick: High-G gracenote to C followed by a Low-G tap/strike. BWW classifies this as a G-gracenote strike. Pipe-band timing anchors component 1.,,
slur_d,slur,light,D slur — light,gdc,*,d,pipes,"g,d,c","1,1,1",1,1,lgstd,"30,30,30",Patrick’s light D slur: High-G gracenote to D followed by a C tap/strike. Pipe-band timing anchors component 1.,,
slur_d,slur,heavy,D slur — heavy,gdG,*,d,pipes,"g,d,G","1,1,1",1,0,gstd,"30,30,30",Patrick’s heavy D slur: High-G gracenote to D followed by a Low-G tap/strike. Pipe-band timing anchors component 1.,,
slur_e,slur,,E slur,geA,*,e,pipes,"g,e,A","1,1,1",1,1,gste,"30,30,30",Patrick: High-G gracenote to E followed by a Low-A tap/strike. Pipe-band timing anchors component 1.,,
slur_f,slur,,F slur,gfe,*,f,pipes,"g,f,e","1,1,1",1,1,gstf,"30,30,30",Patrick: High-G gracenote to F followed by an E tap/strike. Pipe-band timing anchors component 1.,,
slur_g,slur,,High G slur,agf,*,g,pipes,"a,g,f","1,1,1",1,1,tsthg,"30,30,30",Patrick: High-A/thumb gracenote to High G followed by an F tap/strike. BWW places this in the thumb-strike family. Pipe-band timing anchors component 1.,,
shake_B,shake,d_intermediate,B hornpipe shake,gBdG,*,B,pipes,"g,B,d,G","1,1,1,1",1,1,hpsb,"25,25,25,25",Patrick: regular B doubling followed by the B tapping gracenote (Low G). The D-intermediate form is the standard/default variant.,,
shake_B,shake,e_intermediate,B hornpipe shake — E intermediate,gBeG,*,B,pipes,"g,B,e,G","1,1,1,1",1,0,hpsb_e,"25,25,25,25","Patrick: common alternative B hornpipe shake using E, rather than D, as the intermediate gracenote in the doubling; followed by the B tapping gracenote (Low G).",,
shake_c,shake,d_intermediate,C hornpipe shake,gcdG,*,c,pipes,"g,c,d,G","1,1,1,1",1,1,hpsc,"25,25,25,25",Patrick: regular C doubling followed by the C tapping gracenote (Low G). The D-intermediate form is the standard/default variant.,,
shake_c,shake,e_intermediate,C hornpipe shake — E intermediate,gceG,*,c,pipes,"g,c,e,G","1,1,1,1",1,0,hpsc_e,"25,25,25,25","Patrick: common alternative C hornpipe shake using E, rather than D, as the intermediate gracenote in the doubling; followed by the C tapping gracenote (Low G).",,
shake_d,shake,light,D hornpipe shake — light,gdec,*,d,pipes,"g,d,e,c","1,1,1,1",1,1,lhpsd,"25,25,25,25",Patrick: regular D doubling followed by the light D tapping gracenote (C).,,
shake_d,shake,heavy,D hornpipe shake — heavy,gdeG,*,d,pipes,"g,d,e,G","1,1,1,1",1,0,hpsd,"25,25,25,25",Patrick: regular D doubling followed by the heavy D tapping gracenote (Low G).,,
shake_e,shake,,E hornpipe shake,gefA,*,e,pipes,"g,e,f,A","1,1,1,1",1,1,hpse,"25,25,25,25",Patrick: regular E doubling followed by the E tapping gracenote (Low A).,,
shake_f,shake,,F hornpipe shake,gfge,*,f,pipes,"g,f,g,e","1,1,1,1",1,1,hpsf,"25,25,25,25",Patrick: regular F doubling followed by the F tapping gracenote (E).,,
birl,birl,plain,Birl,GAG,*,A,pipes,"G,A,G","1,2,1",1,1,brl,"30,60,30","Patrick’s basic birl: two rapid Low-G interruptions resolving to Low A. Physical methods (seven, double tap, tap-drag, swipe) are execution choices, not separate sounding variants.",,
birl,birl,from_A,Birl from Low A,AGAG,A,A,pipes,"A,G,A,G","2,1,2,1",1,0,brl_from_A,"60,30,60,30",Context-explicit form when the preceding melody note is Low A; preserves the initial Low A before the two Low-G interruptions.,,
birl,birl,g_grace,G-gracenote birl,gAGAG,*,A,pipes,"g,A,G,A,G","1,2,1,2,1",1,0,gbrl,"30,60,30,60,30","G-gracenote birl used from notes where a High-G gracenote is available; resolves to Low A. Prior High G instead uses the thumb-gracenote form, and prior High A omits the unavailable opening gracenote.",,
birl,birl,thumb,High-A-gracenote birl,aAGAG,g,A,pipes,"a,A,G,A,G","1,2,1,2,1",1,0,tbrl,"30,60,30,60,30",Thumb/High-A-gracenote birl used from preceding High G; resolves to Low A.,,
pele_A,pele,regular,Pele on Low A,gAeAG,*,A,pipes,"g,A,e,A,G","1,1,1,1,1",1,1,pela,"40,30,30,30,30",Full Low-A pele with High-G opening. Regular form applies from notes where the opening High-G gracenote is available.,,
pele_A,pele,thumb,Thumb pele on Low A,aAeAG,g,A,pipes,"a,A,e,A,G","1,1,1,1,1",1,0,tpela,"40,30,30,30,30",Thumb form used from preceding High G.,,
